기업명_그룹,매출액,영업이익,당기순이익,자산총계,자본총계,자본금,영업활동현금흐름,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,EPS(원),PER(배),BPS(원),PBR(배),발행주식수(보통주)
TCC스틸,6132.5,172.5,122.66666666666667,5581.5,2426.3333333333335,260.6666666666667,88.83333333333333,2324.0,2.7266666666666666,2.0116666666666667,5.716666666666666,2.395,130.68166666666664,488.5,-46.81014541387024,9153.5,3.818333333333333,26075750.666666668
TKG휴켐스,12001.0,898.75,797.75,11116.0,8413.5,409.0,707.0,685.0,7.47,6.6425,9.825,7.4125000000000005,31.9375,1954.75,9.095,21791.5,0.8225,40878588.0
iM금융지주,78844.66666666667,4134.666666666667,3124.3333333333335,931915.5,62653.833333333336,8457.0,16289.333333333334,147817.33333333334,5.351666666666667,4.033333333333333,5.278333333333333,0.34,1387.87,1803.8333333333333,4.933333333333334,35416.333333333336,0.22999999999999998,169145833.0
강원랜드,13881.0,2732.6666666666665,3613.5,45278.333333333336,37370.5,1070.0,4261.333333333333,571.6666666666666,19.645,25.709999999999997,9.821666666666667,8.113333333333333,21.17833333333333,1689.0,14.241666666666667,18544.166666666668,0.9333333333333332,213940500.0
고려아연,111311.83333333333,7349.166666666667,4082.5,134278.33333333334,85503.16666666667,1036.3333333333333,6618.333333333333,29696.5,6.631666666666667,3.83,4.61,3.405,60.85999999999999,20066.0,63.4,428203.5,1.8183333333333334,20631697.166666668
금호석유화학,70142.66666666667,4472.833333333333,4933.166666666667,81162.33333333333,59123.166666666664,1675.0,4569.666666666667,8997.0,6.195,6.923333333333333,8.69,6.183333333333333,37.25666666666667,15428.5,7.87,224937.0,0.49499999999999994,28068905.166666668
금호타이어,42064.333333333336,4351.5,2201.5,50742.333333333336,16262.0,14363.0,3983.5,21780.166666666668,9.993333333333332,4.933333333333334,14.14,4.368333333333333,218.74333333333334,702.6666666666666,3.6951515151515153,5115.333333333333,0.9250000000000002,287260287.0
기아,1014203.6666666666,114083.66666666667,87149.33333333333,855390.5,499967.3333333333,21393.0,116032.33333333333,44650.166666666664,11.165,8.521666666666667,18.786666666666665,10.716666666666667,72.00666666666666,21687.333333333332,4.33,126423.83333333333,0.7383333333333333,400411608.1666667
기업은행,303411.3333333333,35489.833333333336,26646.666666666668,4574500.5,325971.3333333333,42114.0,-131074.33333333334,2240336.3333333335,11.746666666666668,8.831666666666667,8.534999999999998,0.6016666666666667,1305.1983333333333,3331.5,3.83,40598.5,0.315,797425869.0
넷마블,26115.0,668.5,-2474.3333333333335,82164.5,53669.166666666664,86.0,430.8333333333333,18372.0,2.453333333333333,-9.513333333333334,-3.815,-2.6899999999999995,53.13166666666667,-2431.1666666666665,79.08899351136951,64417.166666666664,0.8616666666666667,85953502.0
녹십자,16673.666666666668,410.6666666666667,-163.33333333333334,26739.666666666668,15149.0,584.0,-87.16666666666667,7513.0,2.453333333333333,-1.0,-0.8683333333333332,-0.5833333333333334,76.72333333333334,-950.6666666666666,-54.409295928770895,112246.16666666667,1.3716666666666668,11686538.0
녹십자홀딩스,21350.166666666668,11.833333333333334,-200.0,36798.833333333336,18811.0,266.0,-419.8333333333333,11727.666666666666,0.06499999999999999,-0.9583333333333334,-0.04499999999999993,-0.5366666666666667,95.74166666666667,-11.333333333333334,17.150390362915523,21954.0,0.7716666666666666,47028210.0
농심,33777.333333333336,1709.5,1553.0,33828.0,25357.833333333332,304.0,2719.1666666666665,1326.1666666666667,5.04,4.585,6.366666666666666,4.78,33.32666666666666,25533.0,15.146666666666667,437537.1666666667,0.8783333333333333,6082642.0
대상,41774.0,1530.1666666666667,849.1666666666666,33980.666666666664,13921.333333333334,360.0,2036.3333333333333,14324.166666666666,3.655,2.026666666666667,6.2683333333333335,2.566666666666667,144.14333333333332,2326.5,8.926666666666668,37989.166666666664,0.5366666666666666,34648025.0
대우건설,108709.33333333333,5490.5,3799.0,119336.83333333333,41417.833333333336,20781.0,-9898.666666666666,33154.5,5.031666666666667,3.4616666666666664,9.631666666666666,3.3516666666666666,188.1483333333333,894.0,4.453333333333334,10011.0,0.3666666666666667,415622638.0
대웅,18559.333333333332,2407.0,1183.0,25066.0,14434.333333333334,291.0,1746.1666666666667,6004.5,12.908333333333331,6.473333333333334,10.959999999999999,5.158333333333333,73.395,1667.3333333333333,15.39333333333333,23127.5,0.915,58141980.0
대웅제약,13831.333333333334,1307.8333333333333,581.8333333333334,18391.5,8911.333333333334,290.0,907.8333333333334,5814.666666666667,9.416666666666666,4.236666666666667,8.68,3.4633333333333334,106.46999999999998,5177.5,40.55833333333333,65914.0,1.9800000000000002,11586575.0
대한유화,26037.333333333332,-864.8333333333334,-387.6666666666667,22079.833333333332,18224.0,410.0,870.5,1653.8333333333333,-3.5100000000000002,-1.655,-2.035,-1.6983333333333333,21.178333333333335,-5967.166666666667,-42.272276723693786,295074.3333333333,0.4033333333333333,6500000.0
대한전선,30020.666666666668,922.3333333333334,647.0,22176.0,12128.5,1554.0,58.666666666666664,4192.0,3.015,2.1166666666666667,6.088333333333334,3.25,84.61666666666666,401.1666666666667,33.815000000000005,7282.833333333333,1.515,162414272.16666666
대한항공,166553.0,21235.666666666668,13555.666666666666,384696.0,103020.83333333333,18467.0,45723.5,152181.33333333334,12.954999999999998,8.246666666666668,14.063333333333333,4.086666666666666,269.6333333333333,3540.8333333333335,6.739999999999999,26834.5,0.8666666666666667,368220661.0
더블유게임즈,6137.333333333333,2261.0,1491.0,14586.166666666666,13448.166666666666,100.0,1891.1666666666667,395.1666666666667,36.81,24.27666666666666,12.748333333333335,10.568333333333333,9.248333333333333,5644.0,3.939953475643131,49273.833333333336,0.96,21532094.333333332
덴티움,3942.8333333333335,1163.0,827.1666666666666,8175.666666666667,4935.833333333333,62.0,477.5,2327.1666666666665,29.685,21.098333333333333,19.118333333333336,11.089999999999998,66.52666666666666,7487.166666666667,11.885,57342.166666666664,1.68,11068830.0
동서,5004.333333333333,433.8333333333333,1565.3333333333333,17255.333333333332,16533.166666666668,498.0,1103.3333333333333,32.5,8.703333333333333,31.304999999999996,9.725,9.278333333333334,4.388333333333333,1553.5,14.846666666666666,16603.0,1.385,99700000.0
동원시스템즈,13322.166666666666,882.1666666666666,697.6666666666666,15302.166666666666,7978.333333333333,1463.0,1850.3333333333333,5030.333333333333,6.62,5.238333333333333,9.091666666666667,4.6066666666666665,92.11000000000001,2379.3333333333335,16.128333333333334,27220.5,1.4133333333333333,28991282.0
두산,182757.83333333334,11683.333333333334,1449.3333333333333,288863.8333333333,113966.16666666667,1237.0,8790.0,84136.5,6.378333333333333,0.7383333333333333,-20.865,0.4783333333333333,153.49166666666667,-16745.666666666668,-14.223577592290575,88757.0,2.0166666666666666,16523835.0
두산밥캣,89655.5,10776.0,6962.166666666667,110034.66666666667,62695.833333333336,593.3333333333334,9358.166666666666,17495.166666666668,11.913333333333332,7.6866666666666665,12.278333333333334,6.848333333333334,75.83,6944.833333333333,6.455000000000001,63199.0,0.6983333333333333,100249166.0
두산에너빌리티,165500.33333333334,11822.5,2943.1666666666665,252126.33333333334,111244.33333333333,32654.333333333332,9154.833333333334,58235.333333333336,7.109999999999999,1.705,-0.9299999999999997,1.175,126.7,-91.83333333333333,109.43006014434643,11414.5,1.4566666666666668,640185627.1666666
두산퓨얼셀,2779.6666666666665,34.666666666666664,-43.666666666666664,10561.666666666666,5161.666666666667,82.0,-807.0,3486.6666666666665,1.1900000000000002,-1.7599999999999998,-0.8466666666666667,-0.39000000000000007,104.69666666666666,-53.666666666666664,58.52538461538463,6307.333333333333,3.9966666666666666,65493726.0
롯데쇼핑,144246.0,4703.833333333333,-4937.666666666667,350003.3333333333,139681.16666666666,1414.0,16118.5,147078.16666666666,3.27,-3.5116666666666667,-3.815,-1.4083333333333334,156.63666666666666,-16966.666666666668,1.9442258839141864,442547.5,0.16833333333333333,28288755.0
